ReactionDeletions,NoOfDels,GrowthRate,ProductFlux,CouplingStrength,DistFromIdeal
5DKGR FORtppi FRK G6PDH2r/PGL Htex O2tex PDH POR5 PPKr,9,0.0972381,9.33799264,1.44924001996215,0.948272001766605
ACALDtex/ACALDtpp ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PGCD,7,0.09811962,9.33364183,0.534510223337595,1.16564391614261
ACALDtex/ACALDtpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK HADPCOADH/HADPCOADH3 Htex O2tex PGCD,8,0.09811955,9.33361319,0.534510808498408,1.16564411502202
FRK Htex O2tex PDH POR5 PPKr,6,0.10446074,9.31437905,1.36134607276907,0.955085877851944
E4PD/PERD/OHPBAT FRK Htex O2tex PDH POR5 PPKr,7,0.10446001,9.31436057,1.36134678969165,0.955086744012566
5DGLCNR ACALDtex/ACALDtpp E4PD/PERD/OHPBAT ALCD2x/ETOHtex FRK Htex O2tex PGCD PPKr RPE,10,0.10018943,9.30086612,1.39429368003848,0.954173123497741
FE3tex FRK Htex O2tex PDH PGCD PPKr,7,0.10554264,9.29429741,1.23658796603971,0.976936213753374
E4PD/PERD/OHPBAT FE3tex FRK Htex O2tex PDH PGCD PPKr,8,0.10554225,9.29427257,1.23658859834794,0.976936814308785
FRK Htex O2tex PDH PGCD PPKr,6,0.10562964,9.29371569,1.2366027747509,0.976856840151635
E4PD/PERD/OHPBAT FRK Htex O2tex PDH PGCD PPKr,7,0.10562925,9.29369084,1.23660340739288,0.976857440916481
5DKGR ACACT1r E4PD/PERD/OHPBAT FE3tex FORtppi FRK G6PDH2r/PGL Htex O2tex PDH PPKr,11,0.09974398,9.28423401,1.40163667632501,0.953697796077685
5DKGR ACACT1r FE3tex FORtppi FRK G6PDH2r/PGL Htex O2tex PDH PPKr,10,0.099744,9.28422092,1.40163724260021,0.953697874602284
5DKGR ACACT1r E4PD/PERD/OHPBAT FORtppi FRK G6PDH2r/PGL Htex O2tex PDH PPKr,10,0.09982168,9.28367644,1.40166079829469,0.953624091924136
